id,name,field,old,new
usr_5f35fdb55e4d4d6cbcca,Ramdas Athawale,honours,"Ranked the second-best performing member of the 14th Lok Sabha by Social Watch India (c. 2009). Known for viral Hindi rhyming couplets (""Modi hai toh mumkin hai""; ""Go Corona Go"" — March 2020). No Padma award on record. Marathi poet, social activist, film actor; actor in Marathi films Anyayacha Pratikar (title role) and Joshi ki Kamble, and in dramas including Ekach Pyala. Editor of the weekly magazine Bhumika. Founder- member, Parivartan Sahitya Mahamandal. National President, Rail Mazdoor Union","Ranked the second-best performing member of the 14th Lok Sabha by Social Watch India (c. 2009). Known for viral Hindi rhyming couplets (""Modi hai toh mumkin hai""; ""Go Corona Go"" — March 2020). Marathi poet, social activist, film actor; actor in Marathi films Anyayacha Pratikar (title role) and Joshi ki Kamble, and in dramas including Ekach Pyala. Editor of the weekly magazine Bhumika. Founder- member, Parivartan Sahitya Mahamandal. National President, Rail Mazdoor Union"
usr_5f35fdb55e4d4d6cbcca,Ramdas Athawale,qualifications,"12th Pass / Inter Arts (1972–73), Siddharth College of Arts and Science, Fort, Mumbai. Attended (not completed) Siddharth College of Law, Mumbai. No earned post-graduate or doctoral qualification","12th Pass / Inter Arts (1972–73), Siddharth College of Arts and Science, Fort, Mumbai. No earned post-graduate or doctoral qualification"
usr_8207d86909dd42f1a6ca,Amita Kshatriya,bio,"Ms. Amita Kshatriya serves as Managing Director of Being Woke, working alongside Ms. Nikita S. Kshatriya in the young brand's leadership. As with many principals of early-stage Indian beauty houses, her public footprint is modest and her biography is not yet a matter of open record. In the spirit of diplomatic accuracy, the register acknowledges her operational role at Being Woke without ascribing unverified honours, and leaves any familial description to be settled with the delegates themselves.","Ms. Amita Kshatriya serves as Managing Director of Being Woke, working alongside Ms. Nikita S. Kshatriya in the young brand's leadership. As with many principals of early-stage Indian beauty houses, her public footprint is modest and her biography is not yet a matter of open record"
usr_3f41674c8ace4a5db20f,Sunil Manjarekar,bio,"Dr. Sunil Manjarekar is a Dubai-based quality and compliance specialist with nearly three decades in ISO standards, food safety and occupational health. As founder and Chief Executive Officer of Sanbook Quality Consultancy, established in 2005, he has advised more than two hundred and fifty organisations across the GCC, India, Africa and Europe, with particular depth in perfume and cosmetics GMP and Halal integrity. As President of GMBF Global, the Gulf Maharashtra Business Forum, he has shaped the MahaBiz convention into a working bridge between Maharashtrian enterprise and Middle Eastern and African markets — an understated practitioner of cross-border commerce.","Dr. Sunil Manjarekar is a Dubai-based quality and compliance specialist with nearly three decades in ISO standards, food safety and occupational health. As founder and Chief Executive Officer of Sanbook Quality Consultancy, established in 2005, he has advised more than two hundred and fifty organisations across the GCC, India, Africa and Europe, with particular depth in perfume and cosmetics GMP and Halal integrity. As President of GMBF Global, the Gulf Maharashtra Business Forum, he has shaped the MahaBiz convention into a working bridge between Maharashtrian enterprise and Middle Eastern and African markets — an understated practitioner of cross-border commerce"
usr_ea7208ad4dd94c468e81,Raaj Lalchandani,bio,"Mr. Raaj Lalchandani is the proprietor, publisher and editor of The Sindhian, a Mumbai-based quarterly coffee-table magazine that has, for over a decade, served as a cultural mirror for the Sindhi diaspora scattered across India and the world. Operating from Khar West, the magazine chronicles the enterprise, artistry and resilience of a community uprooted by Partition and re-rooted across continents. His work sits squarely within the wider effort of Sindhi heritage preservation — quiet, consistent, custodial — offering the community a print home of its own.","Mr. Raaj Lalchandani is the proprietor, publisher and editor of The Sindhian, a Mumbai-based quarterly coffee-table magazine that has, for over a decade, served as a cultural mirror for the Sindhi diaspora scattered across India and the world. Operating from Khar West, the magazine chronicles the enterprise, artistry and resilience of a community uprooted by Partition and re-rooted across continents. His work sits squarely within the wider effort of Sindhi heritage preservation — quiet, consistent, custodial — offering the community a print home of its own"
usr_ea7208ad4dd94c468e81,Raaj Lalchandani,qualifications,"B.Com (The Rajkumar College, India)","B. Com (The Rajkumar College, India)"
usr_f1062ac46ddd4592a35b,Baqar Nasser,designation,"Director, Topspin India Health Care Private Limited, Mumbai; founder, Baqar's Premier League and Bike with Baqar; Weight-Loss and Fitness Coach, OrthoPro Clinic, Dubai",
usr_f1062ac46ddd4592a35b,Baqar Nasser,bio,"Mr. Baqar Nasser is India's pioneer of indoor cycling and a celebrity fitness trainer whose Mumbai studio, Topspin, established in 2003, first brought heart-rate-zone-driven spin culture to the country. An eleven-time national cycling medallist and three-time All-India University champion, he was named ""Fitness Doctor"" by The Economic Times in 2018 and was the first fitness professional from India to be granted the UAE Golden Visa. His clientele has spanned Sanjay Dutt, Priyanka Chopra, Saif Ali Khan and Neil Nitin Mukesh; his global league draws participants from India, the Gulf, Asia, the Americas, Tanzania and Europe.","Mr. His clientele has spanned Sanjay Dutt, Priyanka Chopra, Saif Ali Khan and Neil Nitin Mukesh; his global league draws participants from India, the Gulf, Asia, the Americas, Tanzania and Europe"
usr_f1062ac46ddd4592a35b,Baqar Nasser,honours,"Titled ""Fitness Doctor"" by The Economic Times (2018); eleven National Cycling Medals; three- time All-India University Cycling Champion (1999–2002); Best Sportsman of the Year, Mumbai University (2001–02); first fitness professional from India to receive the UAE Golden Visa; pioneer of indoor/spin cycling in India, having founded the first Topspin studio in New Delhi in 2003",
usr_79d60c25e44e45f99052,Firoz Mosin Bootwala,bio,"Mr. Firoz Mosin Bootwala is the co-founder, gemologist and designer behind Merlion Jewels, the Mumbai jewellery house he established with his wife Fatema at 33, Forjett Street, Tardeo, and its contemporary offshoot, Faya by Merlion Jewels. With two decades in precious and semi-precious gemstones — ruby, amber, agate, pearl and lab- grown diamonds — he has built a quietly enduring Bohra jewellery practice with a carefully curated international gemstone network. His work marries the craft of the bench with the ethics of the bench — each stone sourced personally from its origin, each commission treated as an heirloom in the making.","Mr. With two decades in precious and semi-precious gemstones — ruby, amber, agate, pearl and lab- grown diamonds — he has built a quietly enduring Bohra jewellery practice with a carefully curated international gemstone network. His work marries the craft of the bench with the ethics of the bench — each stone sourced personally from its origin, each commission treated as an heirloom in the making"
usr_e2fc981142cf4cc0a5a8,Fatema Bootwala,bio,"Ms. Fatema Bootwala is the founder and creative director of Faya by Merlion Jewels, a Mumbai luxury jewellery label she conceived with her husband Firoz Bootwala and expanded into the United States. A Graduate Gemologist of the Gemological Institute of America, she personally sources every gemstone from its country of origin, with particular signatures in Baltic Amber Tasbihs, Ya Fatema pendants for the Bohra community, and lab-grown diamond solitaires. Alongside jewellery, she co-founded FAAB52 Botanicals and Wild and Roots, carrying a designer's sensitivity from stone to skin to scent.","Ms. A Graduate Gemologist of the Gemological Institute of America, she personally sources every gemstone from its country of origin, with particular signatures in Baltic Amber Tasbihs, Ya Fatema pendants for the Bohra community, and lab-grown diamond solitaires. Alongside jewellery, she co-founded FAAB52 Botanicals and Wild and Roots, carrying a designer's sensitivity from stone to skin to scent"
usr_e2fc981142cf4cc0a5a8,Fatema Bootwala,qualifications,"G.G. — Graduate Gemologist, Gemological Institute of America (GIA)","G. G. — Graduate Gemologist, Gemological Institute of America (GIA)"
usr_25fb4f8ab25b4ef0b320,Ammin Umer Rajqotwala,designation,"Chairman and Managing Director, Appletree International Pvt. Ltd.; Founder-Director, Rare Hospitality and Services Pvt. Ltd.; Director, EdSanta Inc., OneSIS and Appletree Nutraceuticals, Mumbai","Chairman and Managing Director, Appletree International Pvt. Ltd. ; Founder-Director, Rare Hospitality and Services Pvt. Ltd. ; Director, EdSanta Inc. , OneSIS and Appletree Nutraceuticals, Mumbai"
usr_25fb4f8ab25b4ef0b320,Ammin Umer Rajqotwala,address,"601 Panju Mahal, B.J. Road, Bandstand, Bandra (W), Mumbai 400050","601 Panju Mahal, B. J. Road, Bandstand, Bandra (W), Mumbai 400050"
usr_25fb4f8ab25b4ef0b320,Ammin Umer Rajqotwala,bio,"Mr. Ammin Umer Rajqotwala is a Mumbai hospitality entrepreneur whose career began in 1989 and today spans three decades under the Rare Group umbrella. Hotel Management trained in Mumbai and Oxford, with formative years at the Taj Mahal Hotel and the Palace of His Royal Highness of Bahrain, he presides as Chairman and Managing Director of Appletree International, the parent of the Brooks Hotels and Eatsmart brands serving corporate houses, super-speciality hospitals and fine-dining clients. A serial entrepreneur and start-up mentor, his portfolio now extends into education and nutraceuticals — a hospitable hand across adjacent hospitable worlds.","Mr. Ammin Umer Rajqotwala is a Mumbai hospitality entrepreneur whose career began in 1989 and today spans three decades under the Rare Group umbrella. Hotel Management trained in Mumbai and Oxford, with formative years at the Taj Mahal Hotel and the Palace of His Royal Highness of Bahrain, he presides as Chairman and Managing Director of Appletree International, the parent of the Brooks Hotels and Eatsmart brands serving corporate houses, super-speciality hospitals and fine-dining clients. A serial entrepreneur and start-up mentor, his portfolio now extends into education and nutraceuticals — a hospitable hand across adjacent hospitable worlds"
usr_20a765288f064568a167,Mikki Koomar,designation,"Founder and Global Chairman, Xtreme Industries and Xtreme Entertainment Production Private Limited; Founder and International Chairman, United Nexus organisation; Global Ambassador and Advisor, Eurasia Afro Chamber of Commerce",
usr_20a765288f064568a167,Mikki Koomar,organization,Xtreme Industries and Xtreme Entertainment Production Private Limited,
usr_20a765288f064568a167,Mikki Koomar,bio,"Dr. Mikki Koomar is the Founder and Global Chairman of Xtreme Industries and Xtreme Entertainment Production Pvt. Ltd., and the Founder and International Chairman of the United Nexus organisation, a humanitarian platform aligned with the United Nations Sustainable Development Goals. A model-turned-entrepreneur crowned Indian Male Model 2013, he has parlayed a modelling and martial-arts career into a self-styled global business and diplomatic portfolio spanning entertainment, infrastructure, sustainability, fashion, mining, textiles and digital media. He is widely honoured on the international awards circuit and serves as a World Peace Ambassador to Dr. Khorakiwala's Wockhardt Foundation — a connection that brings him organically into the Conclave fold.","Dr. Mikki Koomar is the Founder and Global Chairman of Xtreme Industries and Xtreme Entertainment Production Pvt. Ltd. , and the Founder and International Chairman of the United Nexus organisation, a humanitarian platform aligned with the United Nations Sustainable Development Goals. He is widely honoured on the international awards circuit and serves as a World Peace Ambassador to Dr. Khorakiwala's Wockhardt Foundation — a connection that brings him organically into the Conclave fold"
usr_20a765288f064568a167,Mikki Koomar,honours,"Indian Male Model 2013 (International Fashion Designers); former-Prime-Minister Rajiv Gandhi Global Excellence Award (International Youth Icon); Bharat Ratan Dr. A.P.J. Abdul Kalam Award (International Youth Icon), presented by Shri Bhagat Singh Koshyari (Governor of Maharashtra) and Shri Ramdas Athawale; Human Excellence Golden Award (Nelson Mandela Peace University); Wockhardt Foundation World Peace Ambassador; Xtreme Entertainment Production Pvt. Ltd. (CIN U92412MH2012PTC229756) founded 1 January 2009 and incorporated 16 April 2012","Indian Male Model 2013 (International Fashion Designers); former-Prime-Minister Rajiv Gandhi Global Excellence Award (International Youth Icon); Bharat Ratan Dr. A. P. J. Abdul Kalam Award (International Youth Icon), presented by Shri Bhagat Singh Koshyari (Governor of Maharashtra) and Shri Ramdas Athawale; Human Excellence Golden Award (Nelson Mandela Peace University); Wockhardt Foundation World Peace Ambassador; Xtreme Entertainment Production Pvt. Ltd"
usr_20a765288f064568a167,Mikki Koomar,qualifications,"Honorary Doctorates (multiple, self-reported)",Honorary Doctorates
usr_d2715c4b0ba245df9e2b,Moiz Akbar Vahanvaty,bio,"Mr. Moiz Akbar Vahanvaty is the owner and Chief Executive Officer of Pinnacle Packing Industries LLC, the Dubai- headquartered manufacturer of BOPP adhesive tapes, bubble rolls, corrugated paper rolls and sustainable packaging for the UAE and wider GCC market. An economics graduate of Jai Hind College, Mumbai, he spent formative years in metallic trading, shipping and steel in Dubai before founding Pinnacle, and has been recognised by His Highness Sheikh Maktoum bin Mohammed bin Rashid Al Maktoum for his work on the Invest in Dubai platform. Quiet, methodical and deeply rooted in the Dawoodi Bohra community, his counsel to fellow entrepreneurs — proper planning leads to efficient execution — has become something of a Dubai refrain.","Mr. Moiz Akbar Vahanvaty is the owner and Chief Executive Officer of Pinnacle Packing Industries LLC, the Dubai- headquartered manufacturer of BOPP adhesive tapes, bubble rolls, corrugated paper rolls and sustainable packaging for the UAE and wider GCC market. An economics graduate of Jai Hind College, Mumbai, he spent formative years in metallic trading, shipping and steel in Dubai before founding Pinnacle, and has been recognised by His Highness Sheikh Maktoum bin Mohammed bin Rashid Al Maktoum for his work on the Invest in Dubai platform. Quiet, methodical and deeply rooted in the Dawoodi Bohra community, his counsel to fellow entrepreneurs — proper planning leads to efficient execution — has become something of a Dubai refrain"
usr_d2715c4b0ba245df9e2b,Moiz Akbar Vahanvaty,honours,"Received a Letter of Appreciation from H.H. Sheikh Maktoum bin Mohammed bin Rashid Al Maktoum on the successful delivery of invest.dubai.ae; prior roles at Alrizq Metallic Trading, Green Emirates Shipping and Prime Steel Trading; active member of the Dubai Dawoodi Bohra business community panel ""Moving Towards Manufacturing""","Received a Letter of Appreciation from H. H. Sheikh Maktoum bin Mohammed bin Rashid Al Maktoum on the successful delivery of invest. dubai. ae; prior roles at Alrizq Metallic Trading, Green Emirates Shipping and Prime Steel Trading; active member of the Dubai Dawoodi Bohra business community panel ""Moving Towards Manufacturing"""
usr_d2715c4b0ba245df9e2b,Moiz Akbar Vahanvaty,qualifications,"B.A. Economics, Jai Hind College, University of Mumbai (1987–91)","B. A. Economics, Jai Hind College, University of Mumbai (1987–91)"
usr_d13f9d5255a842a99a76,G. D. Singh,designation,"Founder and President, Unified Brainz Virtuoso Ltd.; Editor-in-Chief, Passion Vista magazine; Founder and Chairman, Asian African Chamber of Commerce and Industry (AACCI); Founder and President, Confederation of International Accreditation Commission (CIAC Global) and World Peace and Diplomacy Organisation (WPDO)","Founder and President, Unified Brainz Virtuoso Ltd. ; Editor-in-Chief, Passion Vista magazine; Founder and Chairman, Asian African Chamber of Commerce and Industry (AACCI); Founder and President, Confederation of International Accreditation Commission (CIAC Global) and World Peace and Diplomacy Organisation (WPDO)"
usr_d13f9d5255a842a99a76,G. D. Singh,bio,"Dr. G.D. Singh is a global management consultant, brand-maker, author and world-peace advocate whose career is a study in portfolio plurality. As Founder and President of Unified Brainz Virtuoso Ltd. — the Mumbai media and publication house that houses the luxury magazine Passion Vista — and Founder and Chairman of the Asian African Chamber of Commerce and Industry, he sits at the crossroads of business diplomacy, cross-continental trade and peace advocacy. His Advisory Board seats at both the Wockhardt Foundation and The World Peacekeepers Movement make him a natural partner for the Conclave, and his United Nations Peace Ambassadors Forum title places a globally recognised peace honorific beside his KOMR, D.Sc., PhD, and D.Litt. from Mexico's Azteca University.","Dr. G. D. Singh is a global management consultant, brand-maker, author and world-peace advocate whose career is a study in portfolio plurality. As Founder and President of Unified Brainz Virtuoso Ltd. — the Mumbai media and publication house that houses the luxury magazine Passion Vista — and Founder and Chairman of the Asian African Chamber of Commerce and Industry, he sits at the crossroads of business diplomacy, cross-continental trade and peace advocacy. His Advisery Board seats at both the Wockhardt Foundation and The World Peacekeepers Movement make him a natural partner for the Conclave, and his United Nations Peace Ambassadors Forum title places a globally recognised peace honorific beside his KOMR, D. Sc. , PhD, and D. Litt. from Mexico's Azteca University"
usr_d13f9d5255a842a99a76,G. D. Singh,honours,"Advisory Board Member — Wockhardt Foundation and The World Peacekeepers Movement; Board Member, Serbian Royal Academy of Science and Arts, Belgrade; ""Ambassador for Peace"" (United Nations Peace Ambassadors Forum); ""CPS Ambassador for Peace"" (Centre for Peace Studies, Sri Lanka); Peace Advocacy Committee Member, HWPL (South Korea); Honorary Fellow, Institute of Company and Commercial Accounts, Nigeria; host and producer of ""Gusto with GD""; author of Master Your Fear of MLM, Branding — The Gap Between Efforts and Success, and World Peace and Diplomacy — The Concept Unfolded; Unified Brainz Virtuoso Ltd. celebrated its 10th anniversary and Passion Vista's 5th anniversary in April 2024","Advisery Board Member — Wockhardt Foundation and The World Peacekeepers Movement; Board Member, Serbian Royal Academy of Science and Arts, Belgrade; ""Ambassador for Peace"" (United Nations Peace Ambassadors Forum); ""CPS Ambassador for Peace"" (Centre for Peace Studies, Sri Lanka); Peace Advocacy Committee Member, HWPL (South Korea); Honorary Fellow, Institute of Company and Commercial Accounts, Nigeria; host and producer of ""Gusto with GD""; author of Master Your Fear of MLM, Branding — The Gap Between Efforts and Success, and World Peace and Diplomacy — The Concept Unfolded; Unified Brainz Virtuoso Ltd. celebrated its 10th anniversary and Passion Vista's 5th anniversary in April 2024"
usr_d13f9d5255a842a99a76,G. D. Singh,qualifications,"KOMR, D.Sc., PhD, M.Phil, PGDHHM, PGDMC, BBA, MDP (IIM-C), D.Litt. (post- doctoral, Azteca University, Mexico)","KOMR, D. Sc. , PhD, M. Phil, PGDHHM, PGDMC, BBA, MDP (IIM-C), D. Litt. (post- doctoral, Azteca University, Mexico)"
usr_d97c2cddeca1463a9421,Priti Rai,designation,"Business Development Consultant, Indoriv Clinical Private Limited — a hybrid biotechnology CRO and biobanking facility dedicated to cancer research in India",
usr_d97c2cddeca1463a9421,Priti Rai,bio,"Ms. Priti Rai is a Business Development Consultant at Indoriv Clinical Private Limited, the Kolkata-headquartered hybrid biotechnology CRO and biobank that provides human biospecimen samples and research data for cancer research across India. Founded in 2012 by Mr. Anant Agarwal — a University of Sheffield biomedical engineering graduate turned self-made entrepreneur — Indoriv partners with pharmaceutical companies, academic institutions and healthcare organisations, and was named among the winners of the India 5000 Best MSME Awards 2023. A G.H. Raisoni College of Engineering, Nagpur alumna whose earlier career turned through London insurance and Bollywood production, she brings a diversified perspective to clinical research outreach.","Ms. Founded in 2012 by Mr. Anant Agarwal — a University of Sheffield biomedical engineering graduate turned self-made entrepreneur — Indoriv partners with pharmaceutical companies, academic institutions and healthcare organisations, and was named among the winners of the India 5000 Best MSME Awards 2023. A G. H. Raisoni College of Engineering, Nagpur alumna whose earlier career turned through London insurance and Bollywood production, she brings a diversified perspective to clinical research outreach"
usr_d97c2cddeca1463a9421,Priti Rai,honours,"Indoriv Clinical Private Limited (founded 2012 by Mr. Anant Agarwal, a University of Sheffield biomedical engineering graduate) was recognised as a winner of the India 5000 Best MSME Awards 2023; company headquartered at 38 Block B, New Alipore, Kolkata with Mumbai presence; previously a Life Coach at Aioi Nissay Dowa Insurance of Europe and at Anees Bazmee Productions","Anant Agarwal, a University of Sheffield biomedical engineering graduate) was recognised as a winner of the India 5000 Best MSME Awards 2023; company headquartered at 38 Block B, New Alipore, Kolkata with Mumbai presence; previously a Life Coach at Aioi Nissay Dowa Insurance of Europe and at Anees Bazmee Productions"
usr_d97c2cddeca1463a9421,Priti Rai,qualifications,"G.H. Raisoni College of Engineering, Nagpur","G. H. Raisoni College of Engineering, Nagpur"
